County,Trump,Uncommitted_R,Biden,Sanders,Uncommitted_D,Warren,Buttigieg,Yang,Gabbard,Klobuchar,Steyer,Bennet,Patrick,McConnell,Morgan,Grider,Frangedakis,James,Lowndes,Alsager,McGrath,Booker,Broihier,Tobin,Hilliard,Maynard,Smith,Ausbrooks,Rothmuller,Sharpensteen
Green,"1,982",145,393,49,93,8,10,7,8,7,11,4,2,"1,784",102,67,31,21,10,17,340,177,34,21,7,11,10,8,4,6
Greenup,"3,518",289,"2,603",369,835,72,57,63,66,40,23,25,11,"3,185",151,130,80,52,41,28,"2,542","1,007",134,100,89,97,71,24,26,40
Hancock,786,86,797,96,133,18,17,16,16,16,5,10,1,670,65,41,25,13,6,14,725,302,53,35,1,14,5,19,6,6
Hardin,"7,740","1,225","8,250","1,261","1,184",247,168,151,113,117,54,60,25,"7,050",419,525,279,204,85,83,"5,150","5,128",606,422,100,78,84,75,56,61
Harlan,"2,112",78,730,139,494,42,27,22,23,21,19,12,5,"1,882",122,25,21,33,24,8,690,418,80,61,67,80,49,9,15,17
Harrison,"1,176",119,"1,612",186,585,73,62,43,39,28,32,29,9,"1,064",91,32,27,17,29,6,"1,124",911,448,89,43,53,23,11,47,19
Hart,"1,295",96,"1,044",176,280,41,21,30,24,28,11,16,7,"1,122",121,38,28,14,13,9,900,507,78,69,18,10,20,21,12,116
Henderson,"2,152",305,"4,082",477,"1,039",138,104,63,100,86,38,29,22,"1,946",178,54,82,41,22,46,"3,548","1,835",189,216,102,47,75,71,37,36
Henry,"1,660",148,"1,238",217,500,59,52,27,27,31,14,15,6,"1,425",134,81,51,30,29,9,"1,052",662,230,66,75,40,33,11,26,26
Hickman,436,23,283,29,210,16,8,8,13,10,3,13,1,398,21,2,7,4,6,3,294,140,17,30,19,17,12,18,6,9
Hopkins,"2,785",228,"2,843",410,"1,059",105,96,76,68,83,40,36,14,"2,445",200,64,80,42,25,44,"2,447","1,323",122,261,110,75,118,158,32,51
Jackson,"2,607",162,150,43,24,9,1,4,10,0,1,1,0,"2,359",222,33,32,39,16,6,125,85,11,5,2,3,4,1,1,4
