District,Beshear/Coleman,Cameron/Mills,Fishback/Fishback,Adams,Wheatley,Moellman,Coleman,Stevenson,Ball,Reeder,Metcalf,Bowman,Perry,Shell,Enlow
HD_51,"6,089","7,294",1,"8,737","4,335",1,"8,785","4,283","9,146","3,892","8,335","4,573",0,"8,724","4,238"
HD_52,"3,724","7,334",2,"8,629","2,135",1,"8,472","2,320","8,744","2,034","8,273","2,411",2,"8,557","2,167"
HD_53,"6,964","9,755",0,"11,976","4,480",4,"11,704","4,729","12,088","4,296","11,294","4,962",2,"11,904","4,415"
HD_54,"6,169","7,689",0,"9,567","4,058",1,"9,106","4,514","9,535","4,066","9,070","4,457",1,"9,275","4,308"
HD_55,"6,542","8,138",2,"9,942","4,387",3,"9,773","4,556","10,202","4,074","9,489","4,709",2,"9,913","4,341"
HD_56,"10,212","7,574",0,"10,727","6,751",3,"9,668","7,773","10,491","6,904","9,397","7,841",2,"9,893","7,392"
HD_57,"11,026","4,792",0,"7,700","7,881",4,"6,748","8,794","7,560","7,981","6,193","9,166",5,"6,885","8,489"
HD_58,"7,589","8,127",4,"10,196","5,245",16,"9,852","5,633","10,185","5,194","9,568","5,727",2,"9,942","5,389"
HD_59,"8,613","8,896",1,"10,941","6,248",37,"10,467","6,793","10,897","6,228","10,395","6,706",0,"10,555","6,510"
HD_60,"6,869","7,928",0,"9,253","5,186",41,"9,061","5,485","9,449","5,029","9,200","5,238",1,"9,190","5,229"
HD_61,"4,506","7,968",1,"8,981","3,212",62,"8,918","3,404","9,146","3,111","8,910","3,303",12,"9,081","3,145"
HD_62,"8,163","7,030",1,"9,480","5,411",4,"8,753","6,142","9,400","5,426","8,631","6,110",1,"9,039","5,749"
HD_63,"6,738","5,970",0,"6,947","5,544",6,"6,902","5,550","7,179","5,204","7,006","5,374",4,"6,988","5,342"
HD_64,"6,790","6,479",1,"7,547","5,486",10,"7,466","5,576","7,790","5,182","7,586","5,401",3,"7,651","5,311"
