District,Cameron,Quarles,Craft,Deters,Harmon,Keck,Cooper,Clark,Smith,DeVore,Rice,Ormerod,Beshear,Young,Martin,Adams,Knipper,Maricle,Ball,Petteys,Metcalf,Cooperrider,Oleka,Shell,Heath,Enlow,Malone
HD_86,"1,683",712,910,200,95,129,12,10,21,9,15,13,444,26,24,"2,086",844,434,"2,398",886,"2,313",531,502,"1,904","1,459",196,233
HD_87,"1,224",503,569,209,88,80,16,14,19,7,19,10,738,49,46,"1,277",563,499,"1,727",592,"1,489",478,338,"1,302","1,059",369,378
HD_88,"1,424","1,265",447,118,47,105,19,17,12,6,7,4,"2,461",68,42,"2,203",579,228,"2,086",853,"1,307",843,851,"1,784","1,117","1,543",765
HD_89,"1,999","1,007",762,234,161,92,20,34,55,9,16,8,"1,159",148,91,"2,504",861,490,"2,628","1,135","2,475",843,562,"2,458","1,472",645,607
HD_90,"2,108","1,032","1,065",170,100,106,17,13,20,10,9,13,304,14,9,"2,624",856,664,"3,050","1,034","2,690",665,696,"2,640","1,535",148,145
HD_91,"1,369",773,549,169,105,45,18,17,19,13,5,8,"1,795",159,73,"2,144",461,265,"1,953",874,"1,728",649,493,"1,758","1,105",900,932
HD_92,855,389,421,177,57,35,19,9,15,4,5,9,"1,655",186,137,"1,150",381,231,"1,284",492,"1,028",427,299,926,815,644,"1,126"
HD_93,"1,075",711,374,71,66,96,11,7,4,10,4,4,"2,416",71,35,"1,553",467,161,"1,554",591,791,817,598,"1,243",812,"1,556",762
HD_94,837,337,526,214,73,47,11,10,24,4,21,13,"1,199",117,98,"1,102",431,310,"1,225",605,"1,138",458,253,"1,000",818,607,658
HD_95,580,235,420,147,43,24,8,7,11,4,10,7,"1,930",169,185,841,306,179,"1,114",279,715,398,216,769,554,890,"1,148"
HD_96,"1,404",728,512,241,91,43,32,22,18,17,19,14,983,78,46,"1,742",739,317,"1,807",963,"1,393","1,020",370,"1,320","1,363",431,589
HD_97,"1,179",653,698,246,73,49,14,11,22,17,26,8,699,60,52,"1,822",574,302,"2,005",725,"1,588",656,449,"1,481","1,231",341,413
HD_98,"1,125",608,719,262,45,50,22,15,16,9,10,10,"1,296",95,68,"1,557",669,274,"1,639",882,"1,245",837,429,"1,268","1,144",546,767
HD_99,830,484,221,150,43,23,10,8,6,3,5,5,"1,918",194,128,"1,068",394,155,"1,108",466,834,427,328,750,806,"1,017","1,002"
HD_100,"1,022",336,608,207,70,50,10,19,11,12,12,10,"1,190",61,42,"1,234",544,253,"1,428",595,"1,176",574,274,863,"1,062",615,550
Laurel_AB,102,41,81,9,12,10,1,2,0,0,1,1,53,1,1,179,43,17,204,39,170,31,38,151,94,27,16
